question,course,document
Which YouTube playlist contains all the main course videos?,data-engineering-zoomcamp,4292531b
How can I access the course videos directly from the GitHub repository?,data-engineering-zoomcamp,4292531b
Where can I find year-specific playlists for additional videos like office hours?,data-engineering-zoomcamp,4292531b
Is there a direct link to the Main 'DATA ENGINEERING' playlist on YouTube?,data-engineering-zoomcamp,4292531b
Where is the main playlist pinned in the communication channels?,data-engineering-zoomcamp,4292531b
How many weekly hours should I dedicate to this course?,data-engineering-zoomcamp,ea739c65
What is the estimated time commitment for this course per week?,data-engineering-zoomcamp,ea739c65
"On average, how much time will this course take each week?",data-engineering-zoomcamp,ea739c65
What is the weekly expected study time for this course?,data-engineering-zoomcamp,ea739c65
How many hours should I plan to spend on this course every week?,data-engineering-zoomcamp,ea739c65
Can I receive a certificate if I complete the course at my own pace?,data-engineering-zoomcamp,cb257ee5
Is peer-review necessary for earning a certificate?,data-engineering-zoomcamp,cb257ee5
Why am I unable to get a certificate for the self-paced course?,data-engineering-zoomcamp,cb257ee5
Can I still earn a certificate if I don't participate in a live cohort?,data-engineering-zoomcamp,cb257ee5
Why are certificates awarded only during the time course is running?,data-engineering-zoomcamp,cb257ee5
Where is the zoom link for the office hours or workshop sessions?,data-engineering-zoomcamp,04aa4897
How do students participate in the office hours or workshop sessions?,data-engineering-zoomcamp,04aa4897
Where can I find the video URL for the live sessions before they begin?,data-engineering-zoomcamp,04aa4897
How should students submit questions during the live session?,data-engineering-zoomcamp,04aa4897
Where should I not post my questions during the live session to ensure they are answered?,data-engineering-zoomcamp,04aa4897
Will office hours be available if I miss them?,data-engineering-zoomcamp,9681be3b
Can I rewatch a workshop later if I can't attend?,data-engineering-zoomcamp,9681be3b
Are office hour sessions recorded for later viewing?,data-engineering-zoomcamp,9681be3b
Is there a way to access office hours after they've ended?,data-engineering-zoomcamp,9681be3b
What happens if I'm unable to attend the live office hours?,data-engineering-zoomcamp,9681be3b
Where can I find updated deadlines for homework and projects?,data-engineering-zoomcamp,a1daf537
Is there a specific place to look for extensions to deadlines?,data-engineering-zoomcamp,a1daf537
How will I know if there are any new updates about project deadlines?,data-engineering-zoomcamp,a1daf537
Who provides announcements about deadline extensions or other news?,data-engineering-zoomcamp,a1daf537
What should I check if I need information on updated deadlines from the Instructor(s)?,data-engineering-zoomcamp,a1daf537
Is it possible to submit homework after the due date?,data-engineering-zoomcamp,be5bfee4
What happens if the homework form is still open after the due date?,data-engineering-zoomcamp,be5bfee4
Can I confirm my late homework submission?,data-engineering-zoomcamp,be5bfee4
Are there any exceptions for late homework submissions?,data-engineering-zoomcamp,be5bfee4
How do I verify the date-time of my homework submission?,data-engineering-zoomcamp,be5bfee4
What is the URL for submitting homework assignments?,data-engineering-zoomcamp,0e424a44
Where should I upload my homework code?,data-engineering-zoomcamp,0e424a44
How can I share my homework repository?,data-engineering-zoomcamp,0e424a44
What should the homework link contain?,data-engineering-zoomcamp,0e424a44
Where will the instructor look for my homework?,data-engineering-zoomcamp,0e424a44
How are homework assignments graded and how can I see my points?,data-engineering-zoomcamp,29865466
What points contribute to the leaderboard total?,data-engineering-zoomcamp,29865466
How many points do I get for submitting an FAQ?,data-engineering-zoomcamp,29865466
How many points do I earn for each learning in public link?,data-engineering-zoomcamp,29865466
Where can I find the sum of all my points earned in the course?,data-engineering-zoomcamp,29865466
How do I see my display name for the leaderboard?,data-engineering-zoomcamp,016d46a1
What do I do if I am not on the leaderboard?,data-engineering-zoomcamp,016d46a1
How is my display name determined when I set up my account?,data-engineering-zoomcamp,016d46a1
"Can I change my display name and if so, how?",data-engineering-zoomcamp,016d46a1
Where can I edit my course profile to find my display name?,data-engineering-zoomcamp,016d46a1
Is Python 3.9 recommended for our 2024 course?,data-engineering-zoomcamp,47972cb1
Can we use Python 3.10 or 3.11 instead of 3.9?,data-engineering-zoomcamp,47972cb1
Why is Python 3.9 still recommended in 2024?,data-engineering-zoomcamp,47972cb1
Is Python 3.9 necessary for troubleshooting against recorded videos?,data-engineering-zoomcamp,47972cb1
Are Python 3.10 and 3.11 suitable for use in the course?,data-engineering-zoomcamp,47972cb1
What are the recommended environments for setting up the course?,data-engineering-zoomcamp,ddf6c1b3
Can I set up the environment on my local machine for this course?,data-engineering-zoomcamp,ddf6c1b3
What should I do if I prefer working locally on my laptop or PC?,data-engineering-zoomcamp,ddf6c1b3
Are there any challenges for Windows users when setting up the local environment?,data-engineering-zoomcamp,ddf6c1b3
Why might someone choose to use a virtual machine for this course?,data-engineering-zoomcamp,ddf6c1b3
Can I use GitHub Codespaces instead of cli/git bash for data ingestion and Docker file creation?,data-engineering-zoomcamp,ac25d3af
Does GitHub Codespaces come with pre-installed tools?,data-engineering-zoomcamp,ac25d3af
Can I open a GitHub repository directly in a GitHub Codespace?,data-engineering-zoomcamp,ac25d3af
Is Docker available in GitHub Codespaces?,data-engineering-zoomcamp,ac25d3af
Are computing Linux resources provided by GitHub Codespaces?,data-engineering-zoomcamp,ac25d3af
"Do I have to use GitHub Codespaces for the course, or can I use my own setup?",data-engineering-zoomcamp,251218fc
Is it mandatory to use GCP VM or can I work from my laptop?,data-engineering-zoomcamp,251218fc
Is there flexibility in choosing the development environment for this course?,data-engineering-zoomcamp,251218fc
Can I complete the course using PostgreSQL and Docker installed on my local machine?,data-engineering-zoomcamp,251218fc
Are there any restrictions on the platforms we can use for the course?,data-engineering-zoomcamp,251218fc
Do I need both GitHub Codespaces and GCP for this course?,data-engineering-zoomcamp,3c0114ce
Which environment should I choose for my end project in the course?,data-engineering-zoomcamp,3c0114ce
Is BigQuery part of GCP used in the course?,data-engineering-zoomcamp,3c0114ce
Is it possible to set up a local environment for this course?,data-engineering-zoomcamp,3c0114ce
Is learning GCP a better option for this course?,data-engineering-zoomcamp,3c0114ce
How can I open the Run command window to connect to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
Where are the registry values located that need to be changed for connecting to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
What steps should I follow to change the 'Autorun' registry value to connect to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
Is there an alternative solution to changing the registry values to connect to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,f43f5fe7
Where is the known_hosts file located in Windows if I need to delete the fingerprint to connect to a GCP VM using VSCode?,data-engineering-zoomcamp,f43f5fe7
Why is GCP chosen as the primary cloud provider for this course?,data-engineering-zoomcamp,d061525d
Can I use AWS instead of GCP for this course?,data-engineering-zoomcamp,d061525d
Does GCP offer any free trial or credits for new users?,data-engineering-zoomcamp,d061525d
Do I need a credit card to sign up for a free GCP account?,data-engineering-zoomcamp,d061525d
Is BigQuery exclusive to GCP?,data-engineering-zoomcamp,d061525d
What are the payment options for cloud services during the course?,data-engineering-zoomcamp,1cd01b2c
Is there a way to use GCP without incurring costs?,data-engineering-zoomcamp,1cd01b2c
Do I need to budget for cloud services for this course?,data-engineering-zoomcamp,1cd01b2c
Can I use Google Cloud Platform for free in this course?,data-engineering-zoomcamp,1cd01b2c
Are cloud service fees something I should be concerned about?,data-engineering-zoomcamp,1cd01b2c
Are there guidelines for setting up a home lab?,data-engineering-zoomcamp,e4a7c3b0
Can I complete the course without using the cloud?,data-engineering-zoomcamp,e4a7c3b0
Is there a local alternative for everything in the course?,data-engineering-zoomcamp,e4a7c3b0
Do I need GCP to run BigQuery only?,data-engineering-zoomcamp,e4a7c3b0
Can the entire course be done locally?,data-engineering-zoomcamp,e4a7c3b0
Can I use AWS for this course instead of GCP?,data-engineering-zoomcamp,7cd1912e
What should I adapt if I use AWS for the course?,data-engineering-zoomcamp,7cd1912e
Will my capstone project be graded if I use AWS?,data-engineering-zoomcamp,7cd1912e
What kind of help can I expect if I decide to use AWS?,data-engineering-zoomcamp,7cd1912e
Where can I find information on using tools other than the ones specified?,data-engineering-zoomcamp,7cd1912e
What are 'Office Hour' live zoom calls?,data-engineering-zoomcamp,52393fb3
Will there be additional live calls during the Capstone period?,data-engineering-zoomcamp,52393fb3
How will we be informed about additional calls?,data-engineering-zoomcamp,52393fb3
Are Capstone period calls announced in advance?,data-engineering-zoomcamp,52393fb3
Do Capstone calls help clear questions?,data-engineering-zoomcamp,52393fb3
questions,data-engineering-zoomcamp,10515af5
Has the 2022 repository been removed?,data-engineering-zoomcamp,cdb86a97
Where did the 2022 material go?,data-engineering-zoomcamp,cdb86a97
Is the 2022 content still available?,data-engineering-zoomcamp,cdb86a97
Did you delete the 2022 repository?,data-engineering-zoomcamp,cdb86a97
Where can I find the 2022 resources now?,data-engineering-zoomcamp,cdb86a97
Can I choose any tool for my final project?,data-engineering-zoomcamp,3e0114ad
Is it acceptable to use Airflow for the final project?,data-engineering-zoomcamp,3e0114ad
Are there any restrictions on tools for the project?,data-engineering-zoomcamp,3e0114ad
May I use alternatives to the recommended tools for my project?,data-engineering-zoomcamp,3e0114ad
Can I substitute Airflow for the suggested tools in the final project?,data-engineering-zoomcamp,3e0114ad
Can I use Airflow instead of Mage for this course?,data-engineering-zoomcamp,b2799574
Is it okay to use AWS products instead of GCP tools?,data-engineering-zoomcamp,b2799574
Can I substitute Tableau for Metabase in this course?,data-engineering-zoomcamp,b2799574
What alternatives are allowed for the local installation?,data-engineering-zoomcamp,b2799574
Will the course instructors support me if I choose a different tech stack?,data-engineering-zoomcamp,b2799574
What should we do to contribute to the course?,data-engineering-zoomcamp,2f19301f
How can we share the course with friends?,data-engineering-zoomcamp,2f19301f
What action should we take on the repo for contributing?,data-engineering-zoomcamp,2f19301f
Can we create a PR to improve the course material?,data-engineering-zoomcamp,2f19301f
What is the best way to support the course if we find it useful?,data-engineering-zoomcamp,2f19301f
Does the course work well with Linux?,data-engineering-zoomcamp,7c700adb
Can I use Windows for this course?,data-engineering-zoomcamp,7c700adb
Is macOS compatible with the course material?,data-engineering-zoomcamp,7c700adb
Have students used different operating systems in the past?,data-engineering-zoomcamp,7c700adb
Which operating system is considered ideal for this course?,data-engineering-zoomcamp,7c700adb
Is it necessary to set up the WSL environment from the beginning for Windows users?,data-engineering-zoomcamp,44b14808
Why might Windows users not be able to continue later modules without WSL?,data-engineering-zoomcamp,44b14808
Are there any alternative solutions for running shell scripts on Windows if I don't use WSL?,data-engineering-zoomcamp,44b14808
What challenges could Windows users face in the module-05 & RisingWave workshop?,data-engineering-zoomcamp,44b14808
Has there been any discussion or solutions provided in old Slack messages regarding shell scripts on Windows?,data-engineering-zoomcamp,44b14808
Are there any extra resources or books you suggest for the course?,data-engineering-zoomcamp,76e4baf6
Can you recommend any additional books for this course?,data-engineering-zoomcamp,76e4baf6
Do you have any suggestions for further reading materials?,data-engineering-zoomcamp,76e4baf6
Is there a list of recommended resources for the course?,data-engineering-zoomcamp,76e4baf6
Where can I find extra learning materials for this course?,data-engineering-zoomcamp,76e4baf6
What are Project Attempt #1 and Project Attempt #2?,data-engineering-zoomcamp,48b533a8
Can I resubmit my project if I fail the first attempt?,data-engineering-zoomcamp,48b533a8
What happens if I miss the first project deadline?,data-engineering-zoomcamp,48b533a8
How many chances do I get to submit my project?,data-engineering-zoomcamp,48b533a8
Is there a second deadline for project submission?,data-engineering-zoomcamp,48b533a8
What is the first step to troubleshoot an issue on my own?,data-engineering-zoomcamp,954044d1
How can I find specific information in documentation or online resources when I encounter an error?,data-engineering-zoomcamp,954044d1
What should my Slack question include if I need further assistance after trying to solve an issue?,data-engineering-zoomcamp,954044d1
Why should I avoid using screenshots when asking questions about errors?,data-engineering-zoomcamp,954044d1
What should I do if I can't resolve a technical issue immediately after taking a break?,data-engineering-zoomcamp,954044d1
When should I ask a question if the troubleshooting guide does not help?,data-engineering-zoomcamp,a820b9b3
What details should I include about my OS when asking a question?,data-engineering-zoomcamp,a820b9b3
Which information about the command I ran should be provided when asking a question?,data-engineering-zoomcamp,a820b9b3
Why is it important to mention what I have already tried?,data-engineering-zoomcamp,a820b9b3
What should I check if my error log has a line number for the 'offending' code?,data-engineering-zoomcamp,a820b9b3
How do I initially set up Git / GitHub for this course?,data-engineering-zoomcamp,f2945cd2
Where can I find a tutorial for setting up my own Git repository for notes?,data-engineering-zoomcamp,f2945cd2
What types of files should I avoid saving in a Git repository?,data-engineering-zoomcamp,f2945cd2
"What should I never store in a Git repository, even if it's private?",data-engineering-zoomcamp,f2945cd2
What's a good resource for common Git issues?,data-engineering-zoomcamp,f2945cd2
What can I do about the 'missing separator' error in VS Code?,data-engineering-zoomcamp,eb9d376f
How should I format the tabs in a Makefile to avoid errors?,data-engineering-zoomcamp,eb9d376f
Why does my Makefile show '*** missing separator. Stop.'?,data-engineering-zoomcamp,eb9d376f
What's the solution for missing separator error in a Makefile?,data-engineering-zoomcamp,eb9d376f
How do I fix tab-related issues in VS Code when working with Makefiles?,data-engineering-zoomcamp,eb9d376f
How can I open HTML files with a Windows browser from Linux on WSL?,data-engineering-zoomcamp,72f25f6d
What command do I use to open a page with wslview?,data-engineering-zoomcamp,72f25f6d
How can I customize which browser wslview uses?,data-engineering-zoomcamp,72f25f6d
What environment variable do I set to change the browser used by wslview?,data-engineering-zoomcamp,72f25f6d
Which WSL version allows opening HTML files with Windows browsers?,data-engineering-zoomcamp,72f25f6d
How do I set up Chrome Remote Desktop on a Compute Engine Debian Linux VM?,data-engineering-zoomcamp,a1e59afc
What is the purpose of using Chrome Remote Desktop on a Debian Linux VM in Compute Engine?,data-engineering-zoomcamp,a1e59afc
What should I do if I encounter an ERROR 403: Forbidden while downloading 2021 Yellow Taxi data from the TLC website?,data-engineering-zoomcamp,a1e59afc
Where can I find the backup of the 2021 Yellow Taxi Trip Records if the original link doesn't work?,data-engineering-zoomcamp,a1e59afc
How should I unzip the downloaded 'yellow_tripdata_2021-01.csv.gz' file?,data-engineering-zoomcamp,a1e59afc
How do I correctly store taxi data files now that they are available as *.csv.gz?,data-engineering-zoomcamp,71c10610
Why won't the data file store correctly if the file extension is csv.gz instead of csv?,data-engineering-zoomcamp,71c10610
What is one alternative to replacing csv_name = 'output.csv' in the video?,data-engineering-zoomcamp,71c10610
How can I parse the file name from the URL for yellow taxi data?,data-engineering-zoomcamp,71c10610
Can the pandas read_csv function read csv.gz files directly without issues?,data-engineering-zoomcamp,71c10610
Where can I find the data dictionary for Yellow Taxi trips?,data-engineering-zoomcamp,17a5aea1
Where is the data dictionary for Green Taxi trips?,data-engineering-zoomcamp,17a5aea1
Can you provide the URL for the Yellow Taxi trip data dictionary?,data-engineering-zoomcamp,17a5aea1
What is the link to the Green Taxi trip data dictionary?,data-engineering-zoomcamp,17a5aea1
Where do I find information about NY Yellow Trip records?,data-engineering-zoomcamp,17a5aea1
How do I unzip a downloaded parquet file in the command line as shown in Module 1?,data-engineering-zoomcamp,5a275db7
What is the command line instruction to unzip the green_tripdata_2019-09.csv.gz file?,data-engineering-zoomcamp,5a275db7
"Can I import unzipped csv files using pandas, and if so, how?",data-engineering-zoomcamp,5a275db7
How do I modify ingest_data.py to work directly with parquet files?,data-engineering-zoomcamp,5a275db7
What is the correct way to convert a downloaded .parquet file to a .csv file in a Python script?,data-engineering-zoomcamp,5a275db7
questions,data-engineering-zoomcamp,7ec0f9b0
How can I resolve wget certificate verification error in MacOS while using a Jupyter Notebook or CLI?,data-engineering-zoomcamp,bb1ba786
What should I add before wget if I'm running a command in a Jupyter Notebook?,data-engineering-zoomcamp,bb1ba786
How can I use the Python library wget installed with pip to verify a website certificate?,data-engineering-zoomcamp,bb1ba786
What is the command to use wget without checking the certificate?,data-engineering-zoomcamp,bb1ba786
What are the two methods to resolve wget certificate issues in the CLI environment?,data-engineering-zoomcamp,bb1ba786
How do I use the backslash as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
What should I type in the terminal to set the backslash as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
What command allows the backslash to act as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,2f83dbe7
"In Git Bash for Windows, how can I configure the backslash to be an escape character?",data-engineering-zoomcamp,2f83dbe7
Is it necessary to include the backslash as an escape character in .bashrc for Git Bash on Windows?,data-engineering-zoomcamp,2f83dbe7
How do I store secrets in GitHub Codespaces?,data-engineering-zoomcamp,543ff080
Where can I find instructions on managing Codespaces secrets?,data-engineering-zoomcamp,543ff080
What document provides information on handling GitHub Codespaces secrets?,data-engineering-zoomcamp,543ff080
How are account-specific secrets managed for GitHub Codespaces?,data-engineering-zoomcamp,543ff080
Is there a guide for storing secrets in GitHub Codespaces?,data-engineering-zoomcamp,543ff080
How can I connect to the Docker daemon if I see an error with unix:///var/run/docker.sock?,data-engineering-zoomcamp,d407d65b
What should I check if I cannot start the Docker daemon?,data-engineering-zoomcamp,d407d65b
Is there a PowerShell command necessary for updating any settings related to Docker?,data-engineering-zoomcamp,d407d65b
What can ensure the Docker daemon is running when seeing connection issues?,data-engineering-zoomcamp,d407d65b
How do I update the WSL in PowerShell for Docker to work properly?,data-engineering-zoomcamp,d407d65b
What should Windows 10 Pro users do to enable Docker's Hyper-V backend?,data-engineering-zoomcamp,c9375c56
Can Windows 10 Home users enable Hyper-V for Docker?,data-engineering-zoomcamp,c9375c56
Where can Windows 10 Pro users find a tutorial to enable Hyper-V?,data-engineering-zoomcamp,c9375c56
What must Windows 10 Home users use to run Docker if Hyper-V is unavailable?,data-engineering-zoomcamp,c9375c56
What should you do if you encounter WslRegisterDistribution error 0x800701bc while installing WSL2?,data-engineering-zoomcamp,c9375c56
What happens when you perform a 'docker pull' command in Docker?,data-engineering-zoomcamp,e866156b
Do I need to perform a docker login to fetch Docker images for this course?,data-engineering-zoomcamp,e866156b
What should I do if I get a 'requested access to the resource is denied' message after running 'docker pull'?,data-engineering-zoomcamp,e866156b
Why do I encounter a 'permission denied' error when creating a PostgreSQL Docker container with a mounted volume on macOS M1?,data-engineering-zoomcamp,e866156b
How can I solve the 'permission denied' error when trying to create a PostgreSQL Docker container on macOS M1?,data-engineering-zoomcamp,e866156b
What should I do if I can't delete a local folder mounted to a Docker volume?,data-engineering-zoomcamp,16370470
How can I delete a folder created by a PostgreSQL Docker container?,data-engineering-zoomcamp,16370470
Why can't I simply drag a Docker-created folder to trash?,data-engineering-zoomcamp,16370470
What does the command 'sudo rm -r -f docker_test/' do?,data-engineering-zoomcamp,16370470
What does '-r' and '-f' specify when using the 'rm' command in Unix?,data-engineering-zoomcamp,16370470
How can I resolve Docker being stuck on settings or not starting on Windows 10 / 11?,data-engineering-zoomcamp,316df755
What should I do if Docker is stuck on starting on my Windows computer?,data-engineering-zoomcamp,316df755
Can Docker run using Hyper-V on the Pro Edition of Windows 10 / 11?,data-engineering-zoomcamp,316df755
How do I switch Docker containers from Windows to Linux or vice versa?,data-engineering-zoomcamp,316df755
What should I do if the Docker menu's upgrade option doesn't work?,data-engineering-zoomcamp,316df755
"Where should I run Docker commands, from the Windows file system or WSL file system?",data-engineering-zoomcamp,f3aa9252
Can I run Docker on Windows 10 Home Edition?,data-engineering-zoomcamp,f3aa9252
What should I do if Docker stays stuck after setting up WSL2 or Hyper-V?,data-engineering-zoomcamp,f3aa9252
Is following a tutorial necessary to make Docker work on Windows Home Edition?,data-engineering-zoomcamp,f3aa9252
What are the troubleshooting steps if Docker doesn't work after setup?,data-engineering-zoomcamp,f3aa9252
Why should I store all code in my default Linux distro for Docker?,data-engineering-zoomcamp,a4abe7a5
What backend does Docker use by default on Windows 10 Home and Windows 11 Home?,data-engineering-zoomcamp,a4abe7a5
Where can I find more information on best practices for Docker?,data-engineering-zoomcamp,a4abe7a5
What is the benefit of storing code in the default Linux distro when using Docker?,data-engineering-zoomcamp,a4abe7a5
For which Windows versions is Docker running on the WSL2 backend by default?,data-engineering-zoomcamp,a4abe7a5
What should I do if my Docker run command gives an error that the input device is not a TTY?,data-engineering-zoomcamp,fb930700
How can I fix the issue with Docker on Windows when using mintty?,data-engineering-zoomcamp,fb930700
Is there a way to always include winpty in my Docker commands?,data-engineering-zoomcamp,fb930700
What is the solution for Docker's TTY error on Windows?,data-engineering-zoomcamp,fb930700
How can I create an alias to use winpty with Docker commands?,data-engineering-zoomcamp,fb930700
How can I fix the issue where I cannot pip install on a Docker container in Windows?,data-engineering-zoomcamp,aa187680
What error message might I see if pip install fails in a Docker container on Windows?,data-engineering-zoomcamp,aa187680
What is a possible command to resolve pip install issues on Docker for Windows?,data-engineering-zoomcamp,aa187680
What does the error 'Temporary failure in name resolution' indicate in a Docker container?,data-engineering-zoomcamp,aa187680
Why might docker run with --dns=8.8.8.8 help with pip install issues?,data-engineering-zoomcamp,aa187680
Why is the ny_taxi_postgres_data folder empty even after running the Docker script?,data-engineering-zoomcamp,b000e899
What should I do if the ny_taxi_postgres_data folder remains empty in VS Code on Windows?,data-engineering-zoomcamp,b000e899
How can I make sure files are visible in the VS Code ny_taxi folder for the Docker setup?,data-engineering-zoomcamp,b000e899
Which command should I use to ensure the ny_taxi_postgres_data folder is populated in Windows?,data-engineering-zoomcamp,b000e899
How do I set the absolute path in the -v parameter for Docker on Windows to solve folder visibility issues?,data-engineering-zoomcamp,b000e899
question1,data-engineering-zoomcamp,9c66759f
question2,data-engineering-zoomcamp,9c66759f
question3,data-engineering-zoomcamp,9c66759f
question4,data-engineering-zoomcamp,9c66759f
question5,data-engineering-zoomcamp,9c66759f
How can I resolve the error of changing permissions for /var/lib/postgresql/data when using Docker?,data-engineering-zoomcamp,e3106e07
What is an alternative way to map a local directory to the PostgreSQL data directory in Docker?,data-engineering-zoomcamp,e3106e07
How do I verify if the Docker volume dtc_postgres_volume_local has been created?,data-engineering-zoomcamp,e3106e07
"What does the error 'directory ""/var/lib/postgresql/data"" exists but is not empty' mean and how can I resolve it?",data-engineering-zoomcamp,e3106e07
What specific environment variables need to be set when running PostgreSQL in Docker?,data-engineering-zoomcamp,e3106e07
What should I do if the way volume mapping is done in the course video doesn't work for me on Windows?,data-engineering-zoomcamp,72229da5
How can I adjust the volume mapping command on Windows if it automatically creates a folder called 'ny_taxi_postgres_data;C'?,data-engineering-zoomcamp,72229da5
What are some alternatives to the '-v' option for mounting volumes with Docker on Windows?,data-engineering-zoomcamp,72229da5
Is there a specific way to place quotes when using the '$(pwd)' command for volume mapping on Windows?,data-engineering-zoomcamp,72229da5
What command should I use on a Mac for Docker volume mapping?,data-engineering-zoomcamp,72229da5
